Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,PowerPlan,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,N,Mean,Error,StdDev,Ratio,Rank,Gen 0,Gen 1,Gen 2,Allocated
Sequential,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,12.70 us,0.2473 us,0.3625 us,1.00,1,-,-,-,-
Parallel,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,131.52 us,1.7309 us,1.6190 us,1.00,1,31.2500,1.2207,-,461 B
ParallelDepth,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1000,32.16 us,0.6371 us,1.4380 us,1.00,1,7.7515,0.0610,-,4690 B
Sequential,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,165.02 us,3.2971 us,7.0265 us,1.00,1,-,-,-,-
Parallel,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,"1,222.25 us",24.0429 us,33.7048 us,1.00,1,355.4688,25.3906,-,480 B
ParallelDepth,Core,False,Default,Default,Default,Default,Default,Default,000000000000,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10000,152.83 us,2.9895 us,3.7808 us,1.00,1,76.9043,1.4648,-,31715 B
